Column1,Domain,Realm,Kingdom,Phylum,Class,Order,Family,Subfamily,Genus
vOTU_108537,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales
vOTU_119454,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales
vOTU_170,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Loutivirinae,Buchavirus
vOTU_16229,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Crevaviridae,Doltivirinae,Kingevirus
vOTU_209,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Boorivirinae,Canhaevirus
vOTU_253,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Boorivirinae,Canhaevirus
vOTU_140080,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Boorivirinae,Cohcovirus
vOTU_192,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Bearivirinae,Afonbuvirus
vOTU_193,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Bearivirinae,Afonbuvirus
vOTU_195,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Bearivirinae,Afonbuvirus
vOTU_69280,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Unclassified_Picobirnaviridae
vOTU_130468,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Unclassified_Picobirnaviridae
vOTU_59355,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Unclassified_Picobirnaviridae
vOTU_67301,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Unclassified_Picobirnaviridae
vOTU_66271,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Unclassified_Picobirnaviridae
vOTU_51383,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,f.0117.base-Cysto,Unclassified_f.0117.base-Cysto,Unclassified_f.0117.base-Cysto
vOTU_113350,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Partitiviridae,genPartiti.0029,Unclassified _genPartiti.0029
vOTU_67968,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Partitiviridae,genPartiti.0029,Unclassified _genPartiti.0029
vOTU_73988,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Partitiviridae,genPartiti.0029,Unclassified _genPartiti.0029
vOTU_116438,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Picobirnavirus
vOTU_76256,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Picobirnavirus
vOTU_89000,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Picobirnavirus
vOTU_123826,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Orthopicobirnavirus
vOTU_142624,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Orthopicobirnavirus
vOTU_38142,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Orthopicobirnavirus
vOTU_38670,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Orthopicobirnavirus
vOTU_39025,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Orthopicobirnavirus
vOTU_39088,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Orthopicobirnavirus
vOTU_39208,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Orthopicobirnavirus
vOTU_54506,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Orthopicobirnavirus
vOTU_19722,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Cystoviridae,Unclassified_Cystoviridae,Pseudomonas_virus_phi6
vOTU_98105,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Human_picobirnavirus
vOTU_120199,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Human_picobirnavirus
vOTU_66281,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Human_picobirnavirus
vOTU_71729,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Human_picobirnavirus
vOTU_66571,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Fox_fecal_picobirnavirus
vOTU_77968,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Otarine_picobirnavirus
vOTU_102056,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Porcine_picobirnavirus
vOTU_142990,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Porcine_picobirnavirus
vOTU_34530,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Porcine_picobirnavirus
vOTU_37463,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Porcine_picobirnavirus
vOTU_38299,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Porcine_picobirnavirus
vOTU_42062,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Porcine_picobirnavirus
vOTU_44274,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Porcine_picobirnavirus
vOTU_47349,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Porcine_picobirnavirus
vOTU_49872,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Porcine_picobirnavirus
vOTU_66879,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Porcine_picobirnavirus
vOTU_75518,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Porcine_picobirnavirus
vOTU_76530,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Porcine_picobirnavirus
vOTU_81332,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Porcine_picobirnavirus
vOTU_87805,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Porcine_picobirnavirus
vOTU_94283,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Porcine_picobirnavirus
vOTU_96152,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Picobirnavirus_dog_KNA_2015
vOTU_36503,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Otarine_picobirnavirus
vOTU_38745,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Otarine_picobirnavirus
vOTU_46786,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Otarine_picobirnavirus
vOTU_50972,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Otarine_picobirnavirus
vOTU_54950,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Otarine_picobirnavirus
vOTU_71996,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Otarine_picobirnavirus
vOTU_72997,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Otarine_picobirnavirus
vOTU_82211,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Bovine_picobirnavirus
vOTU_80152,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Macaque_picobirnavirus_25
vOTU_70988,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Picobirnavirus_sp
vOTU_49782,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Picobirnavirus_sp
vOTU_122992,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Marmot_picobirnavirus
vOTU_69728,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Marmot_picobirnavirus
vOTU_71384,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Shelduck_picobirnavirus_I
vOTU_79881,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Chicken_picobirnavirus
vOTU_129995,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Picobirnavirus_sp
vOTU_124627,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Lysoka_picobirna-like_virus
vOTU_65912,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Mongoose_picobirnavirus
vOTU_56792,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Mongoose_picobirnavirus
vOTU_61910,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Rabbit_picobirnavirus_5
vOTU_67592,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Rabbit_picobirnavirus_5
vOTU_139712,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Chicken_picobirnavirus
vOTU_62397,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Chicken_picobirnavirus
vOTU_79220,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Chicken_picobirnavirus
vOTU_54414,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Porcine_picobirnavirus
vOTU_47303,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Porcine_picobirnavirus
vOTU_77969,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Picobirnavirus_sp
vOTU_65733,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Porcine_picobirnavirus
vOTU_69097,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Porcine_picobirnavirus
vOTU_42624,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Simian_picobirnavirus
vOTU_127346,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Picobirnavirus
vOTU_55895,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Picobirnavirus
vOTU_71594,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Picobirnavirus
vOTU_75178,Viruses,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Unclassified_Picobirnaviridae,Picobirnavirus
vOTU_15,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Unclassified_Mimiviridae,Unclassified_Mimiviridae
vOTU_67964,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Unclassified_Mimiviridae,Unclassified_Mimiviridae
vOTU_28162,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Unclassified_Mimiviridae,Unclassified_Mimiviridae
vOTU_62155,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Unclassified_Mimiviridae,Unclassified_Mimiviridae
vOTU_18271,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Klosneuvirinae,Klosneuvirus
vOTU_115992,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Klosneuvirinae,Fadolivirus
vOTU_121079,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Klosneuvirinae,Fadolivirus
vOTU_122101,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Klosneuvirinae,Fadolivirus
vOTU_69537,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Klosneuvirinae,Fadolivirus
vOTU_10922,Viruses,Riboviria,Orthornavirae,Duplornaviricota,Vidaverviricetes,Mindivirales,Cystoviridae,Unclassified_Cystoviridae,Cystovirus
vOTU_104488,Viruses,Riboviria,Orthornavirae,Kitrinoviricota,Magsaviricetes,Nodamuvirales,Nodaviridae,Unclassified_Nodaviridae,Unclassified_Nodaviridae
vOTU_109020,Viruses,Riboviria,Orthornavirae,Kitrinoviricota,Magsaviricetes,Nodamuvirales,Nodaviridae,Unclassified_Nodaviridae,Unclassified_Nodaviridae
vOTU_92121,Viruses,Riboviria,Orthornavirae,Kitrinoviricota,Magsaviricetes,Nodamuvirales,Nodaviridae,Unclassified_Nodaviridae,Unclassified_Nodaviridae
vOTU_22398,Viruses,Riboviria,Orthornavirae,Kitrinoviricota,c.0024,o.0035,f.0144,Unclassified_f.0144,Unclassified_f.0144
vOTU_34338,Viruses,Riboviria,Orthornavirae,Kitrinoviricota,c.0024,o.0035,f.0144,Unclassified_f.0144,Unclassified_f.0144
vOTU_112331,Viruses,Riboviria,Orthornavirae,Kitrinoviricota,c.0031,o.0042,f.0153,Unclassified_f.0153,Unclassified_f.0153
vOTU_117934,Viruses,Riboviria,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Orthoretrovirinae,Gammaretrovirus
vOTU_120894,Viruses,Riboviria,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Orthoretrovirinae,Gammaretrovirus
vOTU_14903,Viruses,Riboviria,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Orthoretrovirinae,Gammaretrovirus
vOTU_20067,Viruses,Riboviria,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Orthoretrovirinae,Gammaretrovirus
vOTU_21664,Viruses,Riboviria,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Orthoretrovirinae,Gammaretrovirus
vOTU_21739,Viruses,Riboviria,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Orthoretrovirinae,Gammaretrovirus
vOTU_27243,Viruses,Riboviria,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Orthoretrovirinae,Gammaretrovirus
vOTU_29712,Viruses,Riboviria,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Orthoretrovirinae,Gammaretrovirus
vOTU_48987,Viruses,Riboviria,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Orthoretrovirinae,Gammaretrovirus
vOTU_10176,Viruses,Riboviria,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Orthoretrovirinae,Betaretrovirus
vOTU_11353,Viruses,Riboviria,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Orthoretrovirinae,Betaretrovirus
vOTU_17184,Viruses,Riboviria,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Orthoretrovirinae,Betaretrovirus
vOTU_19012,Viruses,Riboviria,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Orthoretrovirinae,Betaretrovirus
vOTU_11127,Viruses,Monodnaviria,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales
vOTU_14363,Viruses,Monodnaviria,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales
vOTU_18830,Viruses,Monodnaviria,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales
vOTU_21423,Viruses,Monodnaviria,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales
vOTU_11014,Viruses,Monodnaviria,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales
vOTU_11043,Viruses,Monodnaviria,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales
vOTU_49375,Viruses,Monodnaviria,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales
vOTU_9785,Viruses,Monodnaviria,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales
vOTU_12133,Viruses,Monodnaviria,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales
vOTU_12134,Viruses,Monodnaviria,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales
vOTU_10260,Viruses,Monodnaviria,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales
vOTU_9282,Viruses,Monodnaviria,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales,Unclassified_Petitvirales
