Mouse_ID	Cage	Group	ewat_mg	Weight_gain_perc	Steatosis	Inflammation	Hepatocyte_injury	Cumulative_score	Liver_response	OGTT_t0_w18	OGTT_t15_w18	OGTT_t30_w18	OGTT_t60_w18	OGTT_t90_w18	OGTT_t120_w18	AUC1_w18	OGTT_t0_w13	OGTT_t15_w13	OGTT_t30_w13	OGTT_t60_w13	OGTT_t90_w13	OGTT_t120_w13	AUC1_w13	fat_Dendritic_cells	fat_Macrophages	fat_M1_macrophages	fat_B_cells	fat_Cytotoxic_T_cells	fat_Th_cells	fat_Central_memory_T_cells_CD8	fat_Effector_memory_T_cells_CD8	fat_Naive_T_cells_CD8	fat_Central_memory_T_cells_CD4	fat_Effector_memory_T_cells_CD4	fat_Naive_T_cells_CD4	mln_Dendritic_cells	mln_Macrophages	mln_M1_macrophages	mln_B_cells	mln_Th_cells	mln_Cytotoxic_T_cells	mln_Central_memory_T_cells_CD8	mln_Effector_memory_T_cells_CD8	mln_Naive_T_cells_CD8	mln_Central_memory_T_cells_CD4	mln_Effector_memory_T_cells_CD4	mln_Naive_T_cells_CD4	GM_CSF	IFN_g	IL_10	IL_15	IL_17	IL_6	KC_GRO	MIP_2	TNF_a	IL_22
37	2	FVT_PyT	2892	215.503876	1	0	0	1	Non	7.1	12.7	12.1	10.6	7.7	6.3	1159.5	6.9	11.9	10.3	8.7	8.8	7.5	1099.5	0.0246	0.4907	0.0276	0.1141	0.0206	0.0335	0.2323	0.6691	0.0711	0.1889	0.7488	0.044	0.01	0.04	0.09	0.47	0.0767	0.2116	0.3665	0.1801	0.2506	0.5212	0.326	0.1069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	8	FVT_PyT	1930	216.4285714	3	1	1	5	Non	11.3	20.1	19.5	19.6	14.3	9.6	1986	8.9	18.4	18.6	15.6	14.6	13.4	1868.25	0.028	0.5011	0.0622	0.0935	0.011	0.0133	0.29	0.601	0.0666	0.1777	0.7526	0.043	0.01	0.02	0.12	0.57	0.0746	0.151	0.5636	0.028	0.4001	0.6555	0.1988	0.1296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	2	FVT_PyT	1411	290.5511811	3	0	2	5	Non	12.1	16.6	13.4	10.4	8.9	7.5	1332.75	10.4	26.8	15.5	12.9	12.8	9.7	1745.25	0.0411	0.4457	0.0847	0.1309	0.0261	0.0246	0.3922	0.5304	0.0542	0.2449	0.6084	0.1069	0.01	0.01	0.13	0.34	0.0912	0.2443	0.5783	0.0235	0.3895	0.6614	0.1625	0.1596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
33	8	FVT_PyT	2213	255.6390977	3	1	2	6	Non	11.4	19.1	18.3	17.2	13.1	8.9	1826.25	6.6	16.4	14.8	14.2	12	11.1	1581	0.0347	0.4676	0.0652	0.088	0.0097	0.0244	0.2867	0.3643	0.1607	0.1943	0.6477	0.1114	0.01	0.01	0.11	0.4	0.0939	0.2299	0.4982	0.048	0.4267	0.621	0.1867	0.1619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	8	FVT_PyT	2182	205.6737589	2	1	2	5	Non	8.1	14.7	13.6	12.4	10	8.6	1388.25	6.8	14.6	11.2	11.9	14.8	8.7	1453.5	0.0201	0.4416	0.0669	0.128	0.0197	0.0234	0.358	0.4581	0.0901	0.2329	0.4981	0.2108	0.01	0.01	0.13	0.42	0.0887	0.2261	0.4582	0.0148	0.5168	0.701	0.0962	0.1929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
48	2	FVT_PyT	2008	298.3471074	3	1	2	6	Non	11.6	14.8	21.1	16.3	11.7	7.5	1736.25	7	23.1	25.4	26.9	20.2	16.6	2632.5	0.0239	0.4842	0.0646	0.0537	0.0121	0.022	0.3031	0.663	0.0271	0.1723	0.7693	0.0332	0.01	0.02	0.11	0.49	0.0768	0.1966	0.6242	0.0319	0.3345	0.7043	0.1919	0.0955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	11	FVT_SDT	2844	219.4630872	3	1	2	6	Non	9.2	18.1	11.8	13.2	11.9	9.7	1504.5	6.2	12.7	12.8	10.6	8.8	7.7	1222.5	0.0117	0.4446	0.0486	0.1389	0.0327	0.0435	0.3556	0.4314	0.0781	0.3572	0.3048	0.2333	0.01	0.02	0.08	0.58	0.0681	0.172	0.5515	0.0242	0.4168	0.6768	0.169	0.146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	5	FVT_SDT	1568	226.8115942	3	1	2	6	Non	11.1	16.8	17.7	12.7	9.5	9.8	1546.5	9.7	14.5	12.5	9.7	9.3	8.9	1275	0.0221	0.36	0.0607	0.2484	0.0317	0.0382	0.3415	0.4978	0.0724	0.3599	0.3766	0.2001	0.01	0.02	0.16	0.57	0.0582	0.1635	0.5447	0.0196	0.4264	0.7117	0.1268	0.1507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	5	FVT_SDT	1563	234.5070423	3	0	2	5	Non	10.7	14.7	13	10.6	8.2	7.5	1269.75	7.6	13	11.3	10.4	10.8	8.9	1275.75	0.0224	0.3862	0.0738	0.1186	0.0455	0.0566	0.2629	0.629	0.0328	0.2564	0.647	0.0636	0.02	0.06	0.12	0.32	0.0939	0.2201	0.561	0.0483	0.3545	0.568	0.2865	0.1243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	5	FVT_SDT	1646	201.3071895	3	1	2	6	Non	10.7	21.8	19.7	15.9	11.6	10.5	1833	7.9	14.9	14.1	13.8	11.6	10.6	1521	0.0204	0.584	0.0462	0.0591	0.0132	0.0188	0.2619	0.6834	0.039	0.1913	0.7087	0.0562	0.01	0.02	0.1	0.28	0.1043	0.2639	0.5301	0.023	0.4339	0.6931	0.1335	0.1597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	11	FVT_SDT	2381	211.4285714	3	1	2	6	Non	11.5	19.4	20.2	16.5	11.8	10.8	1842.75	7.3	14.8	10.5	11.5	10.1	8.1	1282.5	0.0189	0.6393	0.0485	0.0318	0.0072	0.0269	0.2264	0.5429	0.1535	0.1904	0.6888	0.0563	0.01	0.02	0.11	0.57	0.0687	0.166	0.5009	0.0287	0.4534	0.6196	0.2222	0.1412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27	11	FVT_SDT	2250	205.2287582	3	1	2	6	Non	10.5	20.4	18.6	14.6	16.8	12.4	1931.25	5.1	11.2	9.3	9.7	9.2	8.9	1116	0.0128	0.5053	0.0481	0.1069	0.0203	0.0369	0.272	0.5645	0.0513	0.305	0.4292	0.1382	NA	NA	NA	NA	0.1162	0.2964	0.474	0.0275	0.4821	0.6632	0.1339	0.188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	5	FVT_SDT	1560	228.7581699	3	1	2	6	Non	7.7	16.9	12.2	10.8	8.3	6.4	1254.75	10.4	19.4	26.7	23.4	18.8	16.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01	0.01	0.11	0.3	0.0969	0.2576	0.5568	0.0202	0.4129	0.7055	0.1208	0.1681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	11	FVT_SDT	1908	230.4347826	3	0	2	5	Non	14.6	19.6	20.8	21.3	16.3	14.7	NA	7.4	13.7	12.2	12	8.9	9	1297.5	0.018	0.533	0.0588	0.0549	0.0125	0.0181	0.3175	0.5225	0.0757	0.1474	0.7586	0.0566	0.01	0.02	0.12	0.32	0.1089	0.2667	0.4989	0.0271	0.4614	0.6558	0.1591	0.1648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	1	Lean_control	1504	172.7272727	2	0	1	3	Non	9.2	16.3	11.4	9.1	7.3	7.1	1168.5	6.2	9.8	8.5	7.9	7.6	5.3	929.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02	0.04	0.14	0.46	0.0878	0.2194	0.6465	0.014	0.3338	0.7205	0.1664	0.1035	0.214031867	0.138361929	4.409597639	11.3604638	1.10972151	NA	201.3714677	18.6648102	10.12545748	0.417104278
3	1	Lean_control	1640	161.4814815	1	1	1	3	Non	5.7	13.1	8.7	7.1	7.7	6.2	972	5.4	7.8	8.9	8.2	7.7	6.1	926.25	0.0044	0.7362	0.0087	0.0208	0.012	0.0406	0.1904	0.4673	0.2747	0.1561	0.785	0.0304	0.04	0.06	0.16	0.62	0.0845	0.2302	0.117	0.4777	0.034	0.2846	0.6203	0.0278	0.196506009	0.752093977	NA	17.8738002	NA	3.342294674	124.795905	11.20794373	6.88871351	0.066674025
9	7	Lean_control	1694	110.1265823	2	0	0	2	Non	7.1	12.4	7.7	7.4	7.9	5.8	958.5	5.1	8.8	9.4	6.7	6.9	6.6	888.75	0.009	0.5002	0.0078	0.0387	0.0043	0.022	0.1844	0.6284	0.1392	0.3215	0.5412	0.1082	0.01	0.01	0.1	0.49	0.0829	0.205	0.476	0.0115	0.5052	0.6992	0.1014	0.1927	NA	NA	NA	NA	NA	NA	246.3588857	13.85428237	5.394723791	NA
16	7	Lean_control	1850	157.2463768	2	0	0	2	Non	6.3	9.8	8.7	8.4	7.4	6.1	955.5	5.4	8.9	7.7	7.7	7.6	7.4	917.25	0.0078	0.3577	0.0092	0.0164	0.0168	0.0193	0.1583	0.7193	0.0719	0.1405	0.8069	0.0308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.309566895	0.035790222	8.07728327	17.44633042	1.770447444	16.3268395	393.7159661	50.41224757	17.83386522	NA
24	7	Lean_control	1790	134.6666667	1	1	0	2	Non	7.2	8.3	8.3	7.5	6.9	5.8	884.25	5.9	8	8.8	7.9	7.1	7.4	923.25	0.0053	0.5769	0.0103	0.0194	0.0027	0.0163	0.1479	0.6271	0.1638	0.2191	0.6528	0.0819	0.01	0.01	0.44	0.21	0.1317	0.2869	0.4582	0.0226	0.4965	0.7105	0.093	0.1809	0.152419456	0.138361929	10.09529794	12.68281366	0.799783004	71.95174733	500.2609413	17.70748636	11.43934644	NA
32	1	Lean_control	1140	101.3333333	0	1	0	1	Non	7.7	8.8	9.7	7.7	6.7	4.9	913.5	4.6	9.4	9.4	10	7.3	5.9	994.5	0.0045	0.6992	0.0108	0.054	0.0134	0.0421	0.2028	0.5549	0.2003	0.153	0.8052	0.0234	0.01	0.01	0.12	0.16	0.1038	0.2684	0.5618	0.0221	0.4006	0.7389	0.1187	0.135	0.283638497	0.283437313	5.270191742	20.84450947	NA	2.540206574	110.2850247	8.276699116	5.659326595	0.347852529
41	7	Lean_control	1450	124.8366013	2	1	1	4	Non	6.2	9.5	9	8.4	8.1	7	991.5	6.7	10.8	9.5	8.7	7.4	6.9	1012.5	0.0155	0.3598	0.0131	0.122	0.015	0.0307	0.228	0.5889	0.1494	0.5418	0.3564	0.0874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.395444014	0.318853672	7.823803606	11.3604638	1.048336965	7.114788904	396.6668834	27.99617667	11.9333413	NA
43	1	Lean_control	1430	132.1167883	0	0	0	0	Non	5.6	11.3	9.9	6.7	7.1	6.4	944.25	5.7	11.9	8.3	11.3	7.1	6.5	1057.5	NA	NA	NA	NA	0.0024	0.0162	0.2088	0.5671	0.2002	0.2388	0.6782	0.0554	0.01	0.02	0.27	0.27	0.1013	0.2709	0.5578	0.0166	0.4143	0.7308	0.1386	0.1218	0.134656547	0.259671282	2.931281589	17.44633042	NA	NA	158.1595026	11.36430413	6.647882083	NA
45	10	Obese_control	2767	212.5	2	1	1	4	Non	8.8	15.8	15.7	10.6	10.1	7.8	1394.25	5.9	13.7	9.6	9.9	9.4	6.6	1143.75	0.0162	0.5018	0.0505	0.1038	0.0067	0.0153	0.2301	0.6893	0.0396	0.2397	0.6463	0.0712	0.01	0.02	0.11	0.59	0.0697	0.181	0.5762	0.0259	0.3856	0.6855	0.1915	0.1115	0.080770938	0.259671282	6.636699529	6.388324028	NA	NA	307.3855467	24.13150507	9.152381653	NA
1	4	Obese_control	2246	248.1481481	3	0	2	5	Non	8.6	18.7	18.1	17.2	12.1	10.1	1782.75	9.4	13.9	13	8.8	10.1	9.7	1284	0.0224	0.6955	0.0458	0.0656	0.0057	0.0331	0.4373	0.5601	0.0466	0.1794	0.7214	0.0649	0.01	0.01	0.07	0.45	0.0863	0.2134	0.5101	0.0138	0.4703	0.7432	0.1105	0.1429	NA	NA	4.926628571	19.57577326	1.170844207	14.31927454	354.0660165	27.66721043	9.282327054	NA
14	10	Obese_control	2510	193.4131737	3	1	2	6	Non	10.1	15.2	11.4	12.3	9.8	8.9	1356.75	6.9	14.4	10.3	11.9	10.3	9.2	1303.5	0.0226	0.4456	0.0687	0.1157	0.0294	0.0325	0.3039	0.5542	0.0521	0.1949	0.6503	0.1039	0.01	0.02	0.11	0.61	0.0688	0.1606	0.6132	0.0373	0.3404	0.7015	0.1582	0.1343	0.161271246	NA	7.146343934	21.26604171	0.479952034	15.43813935	249.9340312	36.89558709	8.175653523	NA
15	4	Obese_control	1934	246.969697	3	0	2	5	Non	8.6	14.7	13.2	12.9	11.1	9.2	1440	6.7	14.7	9.1	9.2	6.6	7.2	1057.5	0.0195	0.7385	0.0448	0.0533	0.0097	0.035	0.4617	0.5821	0.0373	0.0955	0.8722	0.0183	0.02	0.02	0.09	0.51	0.0781	0.2041	0.6231	0.0254	0.3455	0.7298	0.1454	0.118	0.50606087	NA	6.806736284	19.99939202	2.927247789	10.20321587	317.4133561	30.41612165	9.412208635	0.127584129
23	4	Obese_control	1840	278.5123967	3	1	2	6	Non	12.7	17.4	17.1	15.7	14.7	11.3	1822.5	7.3	15	11.4	11.5	10.6	8.1	1320.75	0.0264	0.6769	0.0465	0.0676	0.0154	0.0329	0.4578	0.5819	0.0302	0.2368	0.6389	0.0894	0.01	0.03	0.09	0.47	0.0709	0.2066	0.558	0.0116	0.4279	0.7155	0.1444	0.1317	0.300933491	NA	9.004270494	12.24331022	1.711294258	12.96377631	339.0437629	54.24487456	10.27652197	NA
38	4	Obese_control	1892	223.2876712	3	1	2	6	Non	8.9	14.9	13.8	11.6	9.4	7.8	1347.75	9.7	13.1	10	12.2	10.4	8.8	1304.25	0.0198	0.6578	0.0668	0.0998	0.031	0.0565	0.3824	0.5987	0.0248	0.1656	0.7958	0.0274	0.01	0.02	0.08	0.66	0.0559	0.1484	0.596	0.0215	0.379	0.7182	0.1545	0.1206	4.492836623	NA	10.09529794	6.850589122	1.048336965	0.827640068	287.4149319	41.25836851	13.45389539	NA
39	10	Obese_control	1886	204.6052632	3	1	2	6	Non	10.1	19.9	20	15.6	11	7.8	1739.25	5.6	16.1	14.3	12.6	10.6	8.6	1430.25	0.0304	0.5615	0.0733	0.0587	0.02	0.0268	0.236	0.6096	0.0622	0.082	0.8664	0.0129	0.01	0.02	0.1	0.56	0.0786	0.1794	0.5534	0.022	0.4162	0.7025	0.1421	0.1462	0.791508625	0.175279392	13.26115334	4.030898576	NA	4.380302506	419.6272103	35.82707708	9.239019059	NA
40	10	Obese_control	3120	201.9607843	2	1	2	5	Response	9.9	14.9	11.2	10.2	8.9	6.8	1224.75	7.3	15.8	12.6	10.7	9.8	8.6	1319.25	0.0235	0.4928	0.0559	0.0732	0.0088	0.0191	0.3232	0.4938	0.089	0.3183	0.3825	0.2044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.940966965	0.187470594	4.409597639	25.03166078	0.280139847	9.735596295	225.4255958	23.41230324	9.412208635	NA
6	3	Unmodified_FVT	2517	242.6229508	1	0	0	1	Response	8.5	10.3	11.4	10.9	10.8	11	1290.75	5.6	12.6	11.4	7.9	6.6	6.2	1015.5	0.0087	0.6606	0.0236	0.0529	0.0072	0.015	0.2369	0.5811	0.0843	0.2934	0.4574	0.1654	0.01	0.01	0.08	0.25	0.1106	0.279	0.598	0.0161	0.3732	0.7575	0.0948	0.1372	0.274976294	0.538327421	9.508394331	14.42917235	1.711294258	12.05149096	274.877011	25.00088481	11.00917774	0.022108657
22	3	Unmodified_FVT	2537	336.1111111	2	1	1	4	Response	10	18.6	18.4	13.6	12.9	9.8	1710	5.6	8.7	8.1	6.7	5.3	5.8	801.75	0.01	0.6025	0.0258	0.046	0.024	0.0271	0.2436	0.7514	0.0305	0.2105	0.7378	0.036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.754518404	23.78181063	0.347689533	0.173331407	259.3354629	27.14051252	8.892295469	NA
35	9	Unmodified_FVT	2095	154.887218	0	0	0	0	Response	6.7	15.4	13.4	12.3	9.4	7.2	1341.75	6.2	11.2	9.1	9.7	6.3	6.1	990.75	0.0064	0.5007	0.0112	0.0731	0.0077	0.0176	0.1516	0.5764	0.1554	0.2385	0.6079	0.0922	0.01	0.02	0.12	0.5	0.0809	0.2078	0.5307	0.0266	0.4362	0.727	0.1371	0.1272	0.034775088	0.007765612	2.226571187	18.72632558	NA	51.45589799	247.5663915	19.18087779	9.022371459	NA
44	9	Unmodified_FVT	2170	150	0	1	0	1	Response	5.4	12.1	9.9	8.4	7.8	6.2	1023.75	6.8	14.6	13.7	13.3	11.4	9.2	1457.25	0.0113	0.4066	0.0127	0.0622	0.0075	0.0145	0.1951	0.5626	0.1614	0.2583	0.5749	0.1215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.822761613	0.247737045	8.246106178	3.547552923	7.713914488	44.96388733	481.0069975	26.30252753	10.36280949	0.045059435
21	9	Unmodified_FVT	2170	179.1411043	3	1	2	6	Non_Response	8.8	18.1	17.1	13.9	9.6	8.8	1559.25	7.6	15.6	12	11.1	10.7	10.3	1369.5	0.0186	0.5324	0.0488	0.0492	0.007	0.0164	0.2075	0.6752	0.0457	0.1965	0.705	0.0642	0.02	0.02	0.1	0.6	0.0666	0.1427	0.516	0.03	0.4407	0.6464	0.1986	0.1377	0.300933491	NA	8.330469658	17.8738002	NA	1.989983777	276.2466554	34.39404198	12.94061504	0.222407902
30	3	Unmodified_FVT	1677	278.90625	3	0	2	5	Non_Response	11.4	22.3	22.4	15.7	13.8	10.6	1968	8.1	14.2	12.4	10	9.1	8.2	1248.75	0.0247	0.5704	0.0523	0.0857	0.0093	0.0169	0.3207	0.6092	0.0534	0.2358	0.6197	0.105	0.01	0.02	0.08	0.6	0.0638	0.1525	0.5962	0.0177	0.378	0.7394	0.1246	0.128	0.352603692	0.113405676	9.08836196	31.62025322	2.756390845	8.078367595	478.1373627	52.288907	13.2614971	0.203891796
46	3	Unmodified_FVT	1643	282.3529412	3	1	2	6	Non_Response	12.1	22.2	27	12.2	18.3	11.7	NA	8.7	17.5	17.1	18.1	15.6	11.7	1899	0.0213	0.4971	0.0393	0.154	0.0323	0.0227	0.3466	0.61	0.049	0.2443	0.6839	0.0596	0.01	0.02	0.11	0.26	0.1067	0.2645	0.59	0.0295	0.3632	0.6517	0.1341	0.1944	0.472131652	0.187470594	9.843926377	21.68691074	1.473025571	15.43813935	427.305272	37.44325991	12.19079145	NA
47	9	Unmodified_FVT	2073	201.3245033	3	1	2	6	Non_Response	7.7	14.4	15.4	10.6	9.6	7.3	1335.75	5.3	9.6	8.4	6.8	5.6	4.9	818.25	0.0199	0.5626	0.0613	0.0547	0.0156	0.0157	0.2802	0.5911	0.054	0.0929	0.8566	0.027	0.01	0.02	0.1	0.56	0.0692	0.1796	0.5339	0.0253	0.4302	0.6825	0.1386	0.1628	0.369761987	0.259671282	10.59735482	18.72632558	1.473025571	8.555371762	312.3512422	34.40335559	13.02621058	NA
