vOTU_133184	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Schitoviridae;Rothmandenesvirinae;Jwalphavirus;Jwalphavirusjwalpha
vOTU_119276	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Spbetavirus;SpbetavirusSPbeta;Unclassified;Unclassified
vOTU_24445	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Elmenteitavirus;Elmenteitavirusev125;Unclassified;Unclassified
vOTU_24680	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_49229	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_18271	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Klosneuvirinae;Klosneuvirus
vOTU_25761	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Peduoviridae;Kisquattuordecimvirus;KisquattuordecimvirusKS14;Unclassified
vOTU_106550	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pervagoviridae;Callevirus;CallevirusCalle;Unclassified
vOTU_14700	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pachyviridae;Baltivirus;Baltivirusphi13duo;Unclassified
vOTU_72535	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_116438	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Picobirnavirus;Unclassified
vOTU_76256	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Picobirnavirus;Unclassified
vOTU_89000	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Picobirnavirus;Unclassified
vOTU_122155	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_26580	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_56638	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_69359	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_127084	Viruses;Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Cirlivirales;Circoviridae;Unclassified;Unclassified
vOTU_121713	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_78681	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_79348	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_88657	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_65141	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae;Prasinovirus;Unclassified
vOTU_3317	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Lentavirus;LentavirusPMBT5;Unclassified;Unclassified
vOTU_62728	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Inovirus;InovirusM13
vOTU_9329	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Inovirus;InovirusM13
vOTU_17518	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_120680	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Peduoviridae;Gemsvirus;Gemsvirusgv5004652;Unclassified
vOTU_36338	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Peduoviridae;Gemsvirus;Gemsvirusgv5004652;Unclassified
vOTU_43228	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Peduoviridae;Gemsvirus;Gemsvirusgv5004652;Unclassified
vOTU_238	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Punavirus;PunavirusP1;Unclassified;Unclassified
vOTU_115992	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Klosneuvirinae;Fadolivirus
vOTU_121079	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Klosneuvirinae;Fadolivirus
vOTU_122101	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Klosneuvirinae;Fadolivirus
vOTU_69537	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Klosneuvirinae;Fadolivirus
vOTU_2674	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Eponavirus;Eponavirusepona;Unclassified;Unclassified
vOTU_89747	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Eponavirus;Eponavirusepona;Unclassified;Unclassified
vOTU_709	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Lagaffevirus;Lagaffeviruslagaffe;Unclassified;Unclassified
vOTU_118286	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Lughvirus;Lughviruslugh;Unclassified;Unclassified
vOTU_1161	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Mushuvirus;Mushuvirusmushu;Unclassified;Unclassified
vOTU_1213	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Mushuvirus;Mushuvirusmushu;Unclassified;Unclassified
vOTU_1461	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Mushuvirus;Mushuvirusmushu;Unclassified;Unclassified
vOTU_830	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Mushuvirus;Mushuvirusmushu;Unclassified;Unclassified
vOTU_1878	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Toutatisvirus;Toutatisvirustoutatis;Unclassified;Unclassified
vOTU_20067	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Gammaretrovirus
vOTU_21664	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Gammaretrovirus
vOTU_21739	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Gammaretrovirus
vOTU_27243	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Gammaretrovirus
vOTU_29712	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Gammaretrovirus
vOTU_48987	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Gammaretrovirus
vOTU_69058	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_120687	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_128005	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_10056	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_112827	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_138209	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_63406	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_70511	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_97178	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_3247	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_114726	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_44028	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_103041	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_70173	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_102069	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_37820	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_52492	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_105288	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_124345	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_139882	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_2353	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_55128	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_55266	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_69651	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_78119	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_93513	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_77987	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_83815	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_99932	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_102251	Viruses;Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Cirlivirales;Circoviridae;Unclassified;Unclassified
vOTU_103024	Viruses;Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Cirlivirales;Circoviridae;Unclassified;Unclassified
vOTU_111814	Viruses;Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Cirlivirales;Circoviridae;Unclassified;Unclassified
vOTU_139402	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;Gokushovirinae;Unclassified
vOTU_123826	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Orthopicobirnavirus;Orthopicobirnavirushominis
vOTU_142624	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Orthopicobirnavirus;Orthopicobirnavirushominis
vOTU_38142	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Orthopicobirnavirus;Orthopicobirnavirushominis
vOTU_38670	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Orthopicobirnavirus;Orthopicobirnavirushominis
vOTU_39025	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Orthopicobirnavirus;Orthopicobirnavirushominis
vOTU_39088	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Orthopicobirnavirus;Orthopicobirnavirushominis
vOTU_39208	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Orthopicobirnavirus;Orthopicobirnavirushominis
vOTU_54506	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Orthopicobirnavirus;Orthopicobirnavirushominis
vOTU_135262	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_110401	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Iodovirus;IodovirusPLPE;Unclassified;Unclassified
vOTU_119863	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Iodovirus;IodovirusPLPE;Unclassified;Unclassified
vOTU_135699	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Iodovirus;IodovirusPLPE;Unclassified;Unclassified
vOTU_131853	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_134909	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Peduoviridae;Dagavirus;DagavirusST13OXA48phi121;Unclassified
vOTU_1707	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Peduoviridae;Reipivirus;ReipivirusST16OXA48phi54;Unclassified
vOTU_52268	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_58183	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_56411	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Lineavirus;Unclassified
vOTU_56851	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Lineavirus;Unclassified
vOTU_1257	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_38252	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Casjensviridae;Broinstvirus;BroinstviruspCB2051A;Unclassified
vOTU_10176	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Betaretrovirus
vOTU_11353	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Betaretrovirus
vOTU_17184	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Betaretrovirus
vOTU_19012	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Betaretrovirus
vOTU_55381	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_81530	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae;Pairvirus;PairvirusLo5R7ANS;Unclassified
vOTU_132993	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_10924	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;Unclassified;Unclassified
vOTU_11737	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;Unclassified;Unclassified
vOTU_12291	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;Unclassified;Unclassified
vOTU_10259	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Unclassified;Unclassified
vOTU_10306	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Unclassified;Unclassified
vOTU_10525	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Unclassified;Unclassified
vOTU_10576	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Unclassified;Unclassified
vOTU_11141	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Unclassified;Unclassified
vOTU_11339	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Unclassified;Unclassified
vOTU_115955	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Unclassified;Unclassified
vOTU_11813	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Unclassified;Unclassified
vOTU_11990	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Unclassified;Unclassified
vOTU_12339	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Unclassified;Unclassified
vOTU_15993	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Unclassified;Unclassified
vOTU_16078	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Unclassified;Unclassified
vOTU_16087	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Unclassified;Unclassified
vOTU_21543	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Unclassified;Unclassified
vOTU_27303	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Unclassified;Unclassified
vOTU_48437	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Unclassified;Unclassified
vOTU_85446	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Unclassified;Unclassified
vOTU_93292	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Unclassified;Unclassified
vOTU_21614	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pclasvirinae;Xaviavirus;Xaviavirusxavia;Unclassified
vOTU_101238	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Myxoctovirus;MyxoctovirusMx8;Unclassified;Unclassified
vOTU_112556	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Myxoctovirus;MyxoctovirusMx8;Unclassified;Unclassified
vOTU_39984	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Myxoctovirus;MyxoctovirusMx8;Unclassified;Unclassified
vOTU_47295	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Myxoctovirus;MyxoctovirusMx8;Unclassified;Unclassified
vOTU_54757	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Myxoctovirus;MyxoctovirusMx8;Unclassified;Unclassified
vOTU_9049	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_32523	Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
vOTU_19722	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Cystoviridae;Pseudomonas_virus_phi6;Unclassified
vOTU_98105	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Human_picobirnavirus;Unclassified
vOTU_120199	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Human_picobirnavirus;Unclassified
vOTU_66281	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Human_picobirnavirus;Unclassified
vOTU_40074	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Murine_astrovirus;Unclassified
vOTU_45571	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Murine_astrovirus;Unclassified
vOTU_71729	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Human_picobirnavirus;Unclassified
vOTU_66571	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Fox_fecal_picobirnavirus;Unclassified
vOTU_77968	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Otarine_picobirnavirus;Unclassified
vOTU_102056	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Porcine_picobirnavirus;Unclassified
vOTU_142990	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Porcine_picobirnavirus;Unclassified
vOTU_34530	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Porcine_picobirnavirus;Unclassified
vOTU_37463	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Porcine_picobirnavirus;Unclassified
vOTU_38299	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Porcine_picobirnavirus;Unclassified
vOTU_42062	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Porcine_picobirnavirus;Unclassified
vOTU_44274	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Porcine_picobirnavirus;Unclassified
vOTU_47349	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Porcine_picobirnavirus;Unclassified
vOTU_49872	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Porcine_picobirnavirus;Unclassified
vOTU_66879	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Porcine_picobirnavirus;Unclassified
vOTU_75518	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Porcine_picobirnavirus;Unclassified
vOTU_76530	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Porcine_picobirnavirus;Unclassified
vOTU_81332	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Porcine_picobirnavirus;Unclassified
vOTU_87805	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Porcine_picobirnavirus;Unclassified
vOTU_94283	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Porcine_picobirnavirus;Unclassified
vOTU_115059	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;f.0035;Husa-like_virus_KS-2016a;Unclassified
vOTU_76533	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;f.0035;Husa-like_virus_KS-2016a;Unclassified
vOTU_92245	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;f.0035;Husa-like_virus_KS-2016a;Unclassified
vOTU_96152	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Picobirnavirus_dog_KNA_2015;Unclassified
vOTU_36503	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Otarine_picobirnavirus;Unclassified
vOTU_38745	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Otarine_picobirnavirus;Unclassified
vOTU_46786	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Otarine_picobirnavirus;Unclassified
vOTU_50972	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Otarine_picobirnavirus;Unclassified
