vOTU	size
vOTU_728	48359
vOTU_729	48313
vOTU_730	48287
vOTU_733	48197
vOTU_735	47870
vOTU_738	47761
vOTU_739	47727
vOTU_740	47705
vOTU_741	47663
vOTU_745	47549
vOTU_752	47321
vOTU_753	47321
vOTU_754	47321
vOTU_755	47321
vOTU_756	47302
vOTU_758	47275
vOTU_761	47238
vOTU_766	47069
vOTU_768	46975
vOTU_774	46683
vOTU_775	46679
vOTU_776	46667
vOTU_778	46616
vOTU_780	46567
vOTU_783	46414
vOTU_785	46392
vOTU_786	46389
vOTU_787	46387
vOTU_788	46382
vOTU_790	46253
vOTU_792	46130
vOTU_793	46130
vOTU_798	45981
vOTU_800	45895
vOTU_801	45821
vOTU_807	45750
vOTU_810	45628
vOTU_811	45597
vOTU_814	45581
vOTU_815	45581
vOTU_816	45581
vOTU_817	45581
vOTU_820	45490
vOTU_824	45230
vOTU_828	45167
vOTU_830	45109
vOTU_831	45069
vOTU_833	44959
vOTU_839	44685
vOTU_841	44641
vOTU_842	44526
vOTU_843	44517
vOTU_849	44378
vOTU_852	44319
vOTU_853	44209
vOTU_854	44194
vOTU_858	44071
vOTU_859	43988
vOTU_860	43988
vOTU_861	43988
vOTU_862	43981
vOTU_864	43975
vOTU_867	43807
vOTU_868	43771
vOTU_871	43739
vOTU_872	43739
vOTU_873	43714
vOTU_876	43637
vOTU_877	43635
vOTU_878	43607
vOTU_879	43526
vOTU_885	43420
vOTU_886	43417
vOTU_887	43414
vOTU_888	43396
vOTU_889	43394
vOTU_898	43118
vOTU_901	43066
vOTU_904	43042
vOTU_910	42887
vOTU_911	42887
vOTU_912	42887
vOTU_913	42887
vOTU_914	42854
vOTU_920	42726
vOTU_921	42665
vOTU_922	42665
vOTU_924	42594
vOTU_936	42333
vOTU_943	42185
vOTU_946	42111
vOTU_947	42111
vOTU_948	42105
vOTU_954	41927
vOTU_956	41837
vOTU_957	41836
vOTU_958	41807
vOTU_961	41654
vOTU_962	41650
vOTU_966	41540
vOTU_967	41534
vOTU_972	41383
vOTU_987	41070
vOTU_989	41023
vOTU_991	40915
vOTU_994	40807
vOTU_996	40762
vOTU_997	40695
vOTU_998	40694
vOTU_1002	40590
vOTU_1003	40580
vOTU_1007	40408
vOTU_1010	40362
vOTU_1013	40337
vOTU_1016	40264
vOTU_1019	40252
vOTU_1020	40232
vOTU_1025	40140
vOTU_1027	40103
vOTU_1028	40098
vOTU_1029	40084
vOTU_1030	40037
vOTU_1032	40016
vOTU_1037	39858
vOTU_1038	39855
vOTU_1039	39827
vOTU_1040	39814
vOTU_1044	39749
vOTU_1046	39734
vOTU_1056	39422
vOTU_1058	39380
vOTU_1061	39325
vOTU_1062	39324
vOTU_1063	39269
vOTU_1064	39233
vOTU_1067	39187
vOTU_1068	39178
vOTU_1069	39160
vOTU_1070	39157
vOTU_1071	39151
vOTU_1073	39079
vOTU_1075	39068
vOTU_1081	38961
vOTU_1082	38940
vOTU_1084	38928
vOTU_1088	38896
vOTU_1093	38815
vOTU_1099	38583
vOTU_1100	38547
vOTU_1103	38461
vOTU_1104	38418
vOTU_1105	38414
vOTU_1106	38392
vOTU_1107	38385
vOTU_1108	38373
vOTU_1109	38367
vOTU_1110	38366
vOTU_1113	38352
vOTU_1115	38325
vOTU_1120	38214
vOTU_1122	38171
vOTU_1124	38100
vOTU_1125	38079
vOTU_1126	38073
vOTU_1127	38073
vOTU_1130	38051
vOTU_1131	38045
vOTU_1136	38009
vOTU_1138	38008
vOTU_1141	37935
vOTU_1143	37926
vOTU_1144	37917
vOTU_1145	37913
vOTU_1147	37869
vOTU_1149	37794
vOTU_1151	37785
vOTU_1152	37784
vOTU_1153	37777
vOTU_1154	37776
vOTU_1157	37732
vOTU_1160	37719
vOTU_1161	37713
vOTU_1165	37654
vOTU_1167	37624
vOTU_1168	37599
vOTU_1170	37543
vOTU_1176	37506
vOTU_1177	37500
vOTU_1178	37492
vOTU_1182	37446
vOTU_1184	37415
vOTU_1187	37347
vOTU_1191	37256
vOTU_1192	37232
vOTU_1193	37217
vOTU_1199	37135
vOTU_1201	37108
vOTU_1202	37095
vOTU_1206	36966
vOTU_1209	36921
vOTU_1211	36899
vOTU_1213	36861
vOTU_1214	36840
vOTU_1215	36788
vOTU_1216	36779
vOTU_1223	36688
vOTU_1224	36655
vOTU_1225	36625
vOTU_1226	36616
vOTU_1228	36595
vOTU_1230	36568
vOTU_1233	36546
vOTU_1236	36498
vOTU_1237	36494
vOTU_1240	36473
vOTU_1241	36396
vOTU_1244	36369
vOTU_1245	36369
vOTU_1247	36351
vOTU_1248	36343
vOTU_1254	36215
vOTU_1255	36203
vOTU_1257	36191
vOTU_1263	36147
vOTU_1265	36092
vOTU_1266	36076
vOTU_1268	36017
vOTU_1269	36008
vOTU_1270	36007
vOTU_1271	35991
vOTU_1280	35811
vOTU_1285	35663
vOTU_1287	35619
vOTU_1289	35589
vOTU_1291	35568
vOTU_1293	35564
vOTU_1294	35550
vOTU_1299	35497
vOTU_1301	35479
vOTU_1302	35451
vOTU_1303	35448
vOTU_1304	35413
vOTU_1309	35296
vOTU_1310	35293
vOTU_1313	35220
vOTU_1315	35183
vOTU_1316	35126
vOTU_1319	35074
vOTU_1324	34929
vOTU_1327	34881
vOTU_1333	34748
vOTU_1336	34732
vOTU_1340	34672
vOTU_1341	34646
vOTU_1342	34612
vOTU_1343	34607
vOTU_1345	34598
vOTU_1347	34585
vOTU_1348	34544
vOTU_1351	34493
vOTU_1352	34486
vOTU_1360	34338
vOTU_1363	34323
vOTU_1365	34307
vOTU_1366	34305
vOTU_1367	34264
vOTU_1373	34198
vOTU_1375	34150
vOTU_1377	34113
vOTU_1379	34092
vOTU_1381	34074
vOTU_1389	33944
vOTU_1394	33888
vOTU_1395	33887
vOTU_1397	33876
vOTU_1406	33658
vOTU_1407	33656
vOTU_1411	33529
vOTU_1417	33389
vOTU_1418	33386
vOTU_1421	33336
vOTU_1423	33331
vOTU_1433	33263
vOTU_1434	33252
vOTU_1435	33218
vOTU_1436	33169
vOTU_1453	32862
vOTU_1454	32843
vOTU_1455	32824
vOTU_1456	32818
vOTU_1461	32691
vOTU_1466	32603
vOTU_1469	32532
vOTU_1474	32469
vOTU_1475	32461
vOTU_1486	32348
vOTU_1489	32324
vOTU_1492	32307
vOTU_1494	32286
vOTU_1497	32267
vOTU_1505	32211
vOTU_1508	32155
vOTU_1511	32103
vOTU_1518	32049
vOTU_1519	32038
vOTU_1547	31664
vOTU_1552	31582
vOTU_1557	31520
vOTU_1558	31519
vOTU_1559	31509
vOTU_1560	31498
vOTU_1563	31467
vOTU_1570	31392
vOTU_1571	31379
vOTU_1580	31294
vOTU_1586	31205
vOTU_1589	31198
vOTU_1590	31181
vOTU_1592	31138
vOTU_1597	31045
vOTU_1599	31032
vOTU_1607	30920
vOTU_1617	30829
vOTU_1623	30780
vOTU_1627	30688
vOTU_1628	30675
vOTU_1630	30656
vOTU_1631	30634
vOTU_1636	30564
vOTU_1643	30421
vOTU_1647	30360
vOTU_1652	30307
vOTU_1653	30304
vOTU_1654	30242
vOTU_1659	30160
vOTU_1660	30145
vOTU_1666	30099
vOTU_1671	30000
vOTU_1677	29944
vOTU_1678	29926
vOTU_1682	29874
vOTU_1688	29812
vOTU_1690	29783
vOTU_1693	29739
vOTU_1695	29692
vOTU_1698	29668
vOTU_1703	29619
vOTU_1706	29525
vOTU_1707	29437
vOTU_1708	29389
vOTU_1719	29286
vOTU_1725	29245
vOTU_1727	29223
vOTU_1736	29104
vOTU_1738	29083
vOTU_1740	29021
vOTU_1747	28957
vOTU_1748	28913
vOTU_1753	28872
vOTU_1755	28846
vOTU_1758	28807
vOTU_1761	28767
vOTU_1766	28694
vOTU_1767	28694
vOTU_1771	28648
vOTU_1783	28480
vOTU_1789	28407
vOTU_1790	28386
vOTU_1802	28221
vOTU_1816	28069
vOTU_1819	28045
vOTU_1820	28014
vOTU_1821	28008
vOTU_1840	27844
vOTU_1842	27831
vOTU_1852	27755
vOTU_1858	27704
vOTU_1862	27631
vOTU_1867	27587
vOTU_1869	27573
vOTU_1876	27502
vOTU_1878	27483
vOTU_1889	27356
vOTU_1915	27167
vOTU_1930	26944
vOTU_1933	26918
vOTU_1940	26867
vOTU_1943	26822
vOTU_1952	26722
vOTU_1959	26651
vOTU_1965	26586
vOTU_1976	26518
vOTU_1977	26517
vOTU_1982	26485
vOTU_1992	26331
vOTU_1998	26289
vOTU_2006	26222
vOTU_2012	26177
vOTU_2019	26084
vOTU_2029	26025
vOTU_2032	26018
vOTU_2040	25924
vOTU_2043	25893
vOTU_2051	25833
vOTU_2066	25730
vOTU_2076	25618
vOTU_2082	25567
vOTU_2088	25513
vOTU_2094	25474
vOTU_2097	25461
vOTU_2103	25373
vOTU_2105	25372
vOTU_2107	25329
vOTU_2120	25234
vOTU_2130	25170
vOTU_2132	25161
vOTU_2133	25154
vOTU_2142	25033
vOTU_2143	25030
vOTU_2153	24962
vOTU_2157	24912
vOTU_2160	24875
vOTU_2167	24841
vOTU_2175	24777
vOTU_2176	24769
vOTU_2180	24711
vOTU_2182	24705
vOTU_2187	24693
vOTU_2198	24574
vOTU_2202	24554
vOTU_2211	24412
vOTU_2212	24402
vOTU_2215	24347
vOTU_2216	24334
vOTU_2218	24322
vOTU_2223	24252
vOTU_2233	24170
vOTU_2236	24154
vOTU_2242	24123
vOTU_2259	23983
vOTU_2277	23875
vOTU_2279	23849
vOTU_2289	23771
vOTU_2293	23724
vOTU_2304	23640
vOTU_2317	23470
vOTU_2318	23469
vOTU_2328	23407
vOTU_2335	23374
vOTU_2343	23317
vOTU_2353	23240
vOTU_2354	23237
vOTU_2359	23168
vOTU_2360	23153
vOTU_2365	23120
vOTU_2378	22971
vOTU_2387	22921
vOTU_2393	22906
vOTU_2400	22836
vOTU_2408	22791
vOTU_2419	22724
vOTU_2420	22709
vOTU_2442	22469
vOTU_2455	22357
vOTU_2458	22340
vOTU_2463	22296
vOTU_2469	22260
vOTU_2471	22247
vOTU_2480	22204
vOTU_2495	22103
vOTU_2502	22082
vOTU_2511	22002
vOTU_2512	21999
vOTU_2515	21970
vOTU_2516	21936
vOTU_2517	21935
vOTU_2534	21814
vOTU_2551	21669
vOTU_2554	21652
vOTU_2556	21632
vOTU_2564	21583
vOTU_2568	21572
vOTU_2569	21560
vOTU_2578	21507
vOTU_2587	21455
vOTU_2603	21371
vOTU_2608	21348
vOTU_2628	21218
vOTU_2637	21183
vOTU_2647	21140
vOTU_2648	21131
vOTU_2651	21113
vOTU_2652	21105
vOTU_2674	20943
vOTU_2689	20879
vOTU_2692	20875
vOTU_2693	20869
vOTU_2709	20746
vOTU_2713	20731
vOTU_2715	20720
vOTU_2724	20652
vOTU_2741	20536
vOTU_2746	20507
vOTU_2750	20479
vOTU_2764	20405
vOTU_2765	20403
vOTU_2779	20303
vOTU_2792	20220
vOTU_2797	20213
vOTU_2799	20212
vOTU_2802	20193
vOTU_2806	20172
vOTU_2814	20132
vOTU_2820	20081
vOTU_2825	20056
vOTU_2827	20048
vOTU_2839	19994
vOTU_2841	19985
vOTU_2851	19939
vOTU_2853	19928
vOTU_2857	19912
vOTU_2863	19888
vOTU_2864	19886
vOTU_2876	19833
vOTU_2880	19790
vOTU_2883	19777
vOTU_2894	19705
vOTU_2911	19610
vOTU_2916	19579
vOTU_2939	19448
vOTU_2951	19405
vOTU_2954	19402
vOTU_2965	19353
vOTU_2970	19340
vOTU_2973	19310
vOTU_2981	19265
vOTU_2982	19263
vOTU_2983	19258
vOTU_2987	19222
vOTU_3006	19134
vOTU_3011	19107
vOTU_3015	19096
vOTU_3021	19052
vOTU_3029	18997
vOTU_3032	18984
vOTU_3047	18921
vOTU_3060	18856
vOTU_3064	18838
vOTU_3069	18814
vOTU_3075	18787
vOTU_3090	18719
vOTU_3098	18674
vOTU_3104	18625
vOTU_3114	18586
vOTU_3118	18564
vOTU_3132	18493
vOTU_3135	18481
vOTU_3136	18478
vOTU_3140	18455
vOTU_3142	18444
vOTU_3144	18438
vOTU_3145	18437
vOTU_3146	18436
vOTU_3148	18426
vOTU_3151	18405
vOTU_3165	18325
vOTU_3168	18309
vOTU_3174	18284
vOTU_3187	18219
vOTU_3193	18181
vOTU_3196	18166
vOTU_3204	18127
vOTU_3208	18115
vOTU_3209	18112
vOTU_3212	18092
vOTU_3229	18034
vOTU_3241	17994
vOTU_3245	17964
vOTU_3247	17954
vOTU_3257	17905
vOTU_3258	17903
vOTU_3261	17897
vOTU_3268	17877
vOTU_3270	17865
vOTU_3290	17774
vOTU_3304	17661
vOTU_3305	17655
vOTU_3310	17636
vOTU_3311	17629
vOTU_3317	17603
vOTU_3324	17574
vOTU_3327	17562
vOTU_3334	17535
vOTU_3360	17379
vOTU_3367	17345
vOTU_3376	17290
vOTU_3377	17286
vOTU_3381	17278
vOTU_3385	17257
vOTU_3393	17202
vOTU_3404	17158
vOTU_3408	17131
vOTU_3427	17034
vOTU_3449	16964
vOTU_3450	16962
vOTU_3453	16954
vOTU_3454	16945
vOTU_3456	16942
vOTU_3467	16888
vOTU_3490	16797
vOTU_3505	16752
vOTU_3523	16663
vOTU_3525	16650
vOTU_3530	16643
vOTU_3541	16618
vOTU_3548	16603
vOTU_3550	16591
vOTU_3554	16579
vOTU_3571	16521
vOTU_3577	16512
vOTU_3588	16463
vOTU_3592	16451
vOTU_3596	16436
vOTU_3603	16421
vOTU_3614	16394
vOTU_3629	16341
vOTU_3636	16314
vOTU_3648	16269
vOTU_3649	16269
vOTU_3663	16212
vOTU_3668	16196
vOTU_3687	16132
vOTU_3711	16032
vOTU_3714	16027
vOTU_3715	16025
vOTU_3717	16020
vOTU_3724	15994
vOTU_3749	15927
vOTU_3762	15907
vOTU_3763	15905
vOTU_3768	15898
vOTU_3769	15898
vOTU_3776	15887
vOTU_3781	15873
vOTU_3801	15810
vOTU_3819	15754
vOTU_3820	15749
vOTU_3822	15745
vOTU_3844	15689
vOTU_3862	15613
vOTU_3873	15583
vOTU_3875	15580
vOTU_3891	15502
vOTU_3899	15478
vOTU_3915	15436
vOTU_3920	15419
vOTU_3929	15381
vOTU_3941	15350
vOTU_3970	15259
vOTU_3972	15257
vOTU_3973	15248
vOTU_3977	15230
vOTU_3980	15214
vOTU_3995	15154
vOTU_3998	15145
vOTU_4002	15143
vOTU_4011	15104
vOTU_4014	15101
vOTU_4022	15053
vOTU_4030	15026
vOTU_4033	15016
vOTU_4034	15014
vOTU_4043	14986
vOTU_4055	14954
vOTU_4061	14942
vOTU_4079	14891
vOTU_4082	14887
vOTU_4089	14860
vOTU_4092	14858
vOTU_4106	14795
vOTU_4110	14787
vOTU_4112	14778
vOTU_4120	14760
vOTU_4123	14758
vOTU_4127	14747
vOTU_4130	14737
vOTU_4133	14734
vOTU_4141	14708
vOTU_4150	14659
vOTU_4161	14631
vOTU_4171	14589
vOTU_4177	14566
vOTU_4188	14540
vOTU_4192	14531
vOTU_4202	14503
vOTU_4225	14432
vOTU_4234	14412
vOTU_4244	14386
vOTU_4263	14323
vOTU_4267	14320
vOTU_4275	14295
vOTU_4280	14280
vOTU_4310	14204
vOTU_4316	14188
vOTU_4338	14122
vOTU_4339	14116
vOTU_4343	14101
vOTU_4353	14076
vOTU_4368	14020
vOTU_4377	13985
vOTU_4379	13979
vOTU_4386	13963
vOTU_4389	13950
vOTU_4390	13948
vOTU_4394	13937
vOTU_4395	13936
vOTU_4397	13931
vOTU_4422	13873
vOTU_4436	13839
vOTU_4453	13789
vOTU_4469	13741
vOTU_4473	13732
vOTU_4479	13710
vOTU_4481	13705
vOTU_4483	13701
vOTU_4491	13680
vOTU_4505	13642
vOTU_4508	13637
vOTU_4520	13611
vOTU_4532	13572
vOTU_4549	13535
vOTU_4563	13499
vOTU_4581	13466
vOTU_4597	13416
vOTU_4604	13401
vOTU_4617	13366
vOTU_4635	13320
vOTU_4637	13316
vOTU_4638	13316
vOTU_4639	13314
vOTU_4641	13311
vOTU_4642	13306
vOTU_4647	13299
vOTU_4671	13242
vOTU_4678	13224
vOTU_4694	13195
vOTU_4701	13177
vOTU_4704	13165
vOTU_4714	13137
vOTU_4721	13126
vOTU_4735	13098
vOTU_4736	13097
vOTU_4737	13097
vOTU_4745	13072
vOTU_4749	13067
vOTU_4753	13054
vOTU_4767	13013
vOTU_4768	13013
vOTU_4779	12970
vOTU_4804	12911
vOTU_4805	12909
vOTU_4826	12860
vOTU_4845	12806
vOTU_4875	12748
vOTU_4879	12734
vOTU_4890	12708
vOTU_4892	12706
vOTU_4900	12686
vOTU_4905	12663
vOTU_4966	12537
vOTU_4972	12523
vOTU_4973	12522
vOTU_4975	12521
vOTU_4977	12518
vOTU_4984	12504
vOTU_4988	12492
vOTU_5018	12439
vOTU_5032	12402
vOTU_5050	12372
vOTU_5059	12360
vOTU_5062	12355
vOTU_5065	12349
vOTU_5073	12331
vOTU_5085	12309
vOTU_5092	12292
vOTU_5103	12274
vOTU_5110	12262
vOTU_5111	12261
vOTU_5121	12241
vOTU_5129	12230
vOTU_5131	12227
vOTU_5133	12223
vOTU_5138	12209
vOTU_5141	12204
vOTU_5142	12201
vOTU_5143	12199
vOTU_5145	12189
vOTU_5167	12145
vOTU_5170	12140
vOTU_5185	12112
vOTU_5190	12106
vOTU_5191	12104
vOTU_5203	12084
vOTU_5209	12065
vOTU_5236	12004
vOTU_5239	11999
vOTU_5252	11982
vOTU_5258	11974
vOTU_5262	11968
vOTU_5270	11953
vOTU_5312	11867
vOTU_5321	11856
vOTU_5323	11847
vOTU_5341	11807
vOTU_5346	11800
vOTU_5360	11772
vOTU_5368	11756
vOTU_5371	11751
vOTU_5386	11725
vOTU_5394	11705
vOTU_5396	11702
vOTU_5405	11676
vOTU_5435	11628
vOTU_5438	11624
vOTU_5447	11608
vOTU_5459	11585
vOTU_5477	11559
vOTU_5497	11511
vOTU_5514	11476
vOTU_5526	11464
vOTU_5544	11420
vOTU_5547	11418
vOTU_5577	11383
vOTU_5583	11380
vOTU_5591	11363
vOTU_5596	11354
vOTU_5636	11290
vOTU_5675	11219
vOTU_5689	11198
vOTU_5721	11138
vOTU_5744	11101
vOTU_5747	11099
vOTU_5750	11091
vOTU_5760	11072
vOTU_5769	11057
vOTU_5770	11056
vOTU_5804	10998
vOTU_5850	10931
vOTU_5852	10926
vOTU_5855	10924
vOTU_5878	10889
vOTU_5882	10885
vOTU_5883	10885
vOTU_5890	10878
vOTU_5894	10868
vOTU_5917	10819
vOTU_5918	10817
vOTU_5933	10786
vOTU_5945	10764
vOTU_5960	10750
vOTU_6008	10667
vOTU_6018	10649
vOTU_6051	10603
vOTU_6053	10600
vOTU_6059	10586
vOTU_6070	10568
vOTU_6078	10557
vOTU_6081	10547
vOTU_6083	10542
vOTU_6101	10521
vOTU_6105	10511
vOTU_6114	10497
vOTU_6136	10461
vOTU_6137	10461
vOTU_6157	10427
vOTU_6159	10425
vOTU_6188	10387
vOTU_6193	10382
vOTU_6203	10369
vOTU_6238	10319
vOTU_6266	10261
vOTU_6289	10222
vOTU_6295	10215
vOTU_6313	10195
vOTU_6336	10166
vOTU_6354	10140
vOTU_6359	10137
vOTU_6381	10104
vOTU_6387	10098
vOTU_6416	10058
vOTU_6417	10057
vOTU_6421	10046
vOTU_6441	10014
vOTU_6459	9987
vOTU_6467	9978
vOTU_6468	9977
vOTU_6470	9976
vOTU_6476	9969
vOTU_6501	9935
vOTU_6521	9913
vOTU_6524	9911
vOTU_6536	9893
vOTU_6543	9885
vOTU_6556	9876
vOTU_6559	9871
vOTU_6560	9870
vOTU_6567	9860
vOTU_6579	9847
vOTU_6589	9841
vOTU_6621	9799
vOTU_6625	9793
vOTU_6627	9791
vOTU_6631	9781
vOTU_6638	9773
vOTU_6643	9770
vOTU_6647	9765
vOTU_6649	9764
vOTU_6656	9760
vOTU_6696	9713
vOTU_6699	9712
vOTU_6700	9712
vOTU_6733	9673
vOTU_6739	9666
vOTU_6752	9650
vOTU_6789	9605
vOTU_6809	9581
vOTU_6862	9515
vOTU_6877	9498
vOTU_6891	9480
vOTU_6904	9468
vOTU_6909	9464
vOTU_6913	9458
vOTU_6924	9446
vOTU_6969	9396
vOTU_6974	9394
vOTU_6975	9393
vOTU_6976	9393
vOTU_6977	9393
vOTU_6979	9390
vOTU_6985	9384
vOTU_6987	9384
vOTU_7002	9366
vOTU_7007	9362
vOTU_7009	9358
vOTU_7016	9350
vOTU_7017	9349
vOTU_7054	9307
vOTU_7056	9305
vOTU_7069	9294
vOTU_7072	9292
vOTU_7083	9276
vOTU_7087	9270
vOTU_7116	9237
vOTU_7132	9220
vOTU_7167	9176
vOTU_7184	9164
vOTU_7218	9126
vOTU_7224	9121
vOTU_7249	9090
vOTU_7253	9087
vOTU_7260	9082
vOTU_7269	9067
vOTU_7272	9064
vOTU_7282	9054
vOTU_7284	9048
vOTU_7289	9041
vOTU_7295	9030
vOTU_7300	9021
vOTU_7312	9009
vOTU_7318	8998
vOTU_7320	8997
vOTU_7338	8979
vOTU_7371	8943
vOTU_7384	8930
vOTU_7399	8918
vOTU_7413	8907
vOTU_7436	8879
vOTU_7449	8868
vOTU_7450	8863
vOTU_7496	8820
vOTU_7497	8820
vOTU_7507	8813
vOTU_7522	8792
vOTU_7534	8779
vOTU_7554	8765
vOTU_7561	8760
vOTU_7564	8758
vOTU_7572	8754
vOTU_7579	8746
vOTU_7598	8728
vOTU_7602	8720
vOTU_7610	8713
vOTU_7619	8703
vOTU_7631	8695
vOTU_7647	8682
vOTU_7671	8655
vOTU_7678	8646
vOTU_7685	8643
vOTU_7722	8616
vOTU_7727	8614
vOTU_7749	8601
vOTU_7764	8577
vOTU_7765	8577
vOTU_7785	8559
vOTU_7817	8518
vOTU_7818	8518
vOTU_7820	8514
vOTU_7842	8492
vOTU_7850	8486
vOTU_7856	8484
vOTU_7864	8475
vOTU_7884	8453
vOTU_7894	8446
vOTU_7919	8430
vOTU_7925	8420
vOTU_7940	8405
vOTU_7972	8380
vOTU_7979	8372
vOTU_7985	8368
vOTU_7997	8361
vOTU_8028	8335
vOTU_8044	8318
vOTU_8045	8316
vOTU_8047	8313
vOTU_8058	8301
vOTU_8071	8293
vOTU_8093	8270
vOTU_8104	8265
vOTU_8111	8256
vOTU_8166	8209
vOTU_8167	8207
vOTU_8179	8192
vOTU_8189	8188
vOTU_8199	8181
vOTU_8202	8177
vOTU_8212	8169
vOTU_8244	8146
vOTU_8261	8134
vOTU_8267	8130
vOTU_8286	8120
vOTU_8299	8108
vOTU_8307	8102
vOTU_8317	8094
vOTU_8324	8091
vOTU_8331	8086
vOTU_8332	8086
vOTU_8383	8050
vOTU_8384	8050
vOTU_8408	8027
vOTU_8418	8017
vOTU_8434	8001
vOTU_8438	7999
vOTU_8439	7998
vOTU_8446	7992
vOTU_8465	7973
