SampleID	NovaSeqID	Study	Remove	ProjectID	Sample_time_point	Sample_or_Control	Mouse_ID	Vendor	Diet	Treatment	Sex	Liver_response
NovaSeq_TSR157	TSR157	DIO	x	f0_11	Arrival	TRUE_sample	11	Taconic	HFD	FVT_ChP	Male	Non_Response
NovaSeq_TSR158	TSR158	DIO	x	f0_12	Arrival	TRUE_sample	12	Taconic	HFD	FVT_ChP	Male	Non_Response
NovaSeq_TSR159	TSR159	DIO	x	f0_13	Arrival	TRUE_sample	13	Taconic	HFD	FVT_PyT	Male	Non_Response
NovaSeq_TSR160	TSR160	DIO	x	f0_14	Arrival	TRUE_sample	14	Taconic	HFD	Obese_control	Male	Non_Response
NovaSeq_TSR161	TSR161	DIO	x	f0_15	Arrival	TRUE_sample	15	Taconic	HFD	Obese_control	Male	Non_Response
NovaSeq_TSR162	TSR162	DIO	x	f0_16	Arrival	TRUE_sample	16	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR163	TSR163	DIO	x	f0_17	Arrival	TRUE_sample	17	Taconic	HFD	FVT_SDT	Male	Non_Response
NovaSeq_TSR164	TSR164	DIO	x	f0_18	Arrival	TRUE_sample	18	Taconic	HFD	FVT_SDT	Male	Non_Response
NovaSeq_TSR165	TSR165	DIO	x	f0_19	Arrival	TRUE_sample	19	Taconic	HFD	FVT_ChP	Male	Non_Response
NovaSeq_TSR166	TSR166	DIO	x	f0_20	Arrival	TRUE_sample	20	Taconic	HFD	FVT_ChP	Male	Non_Response
NovaSeq_TSR167	TSR167	DIO	x	f0_21	Arrival	TRUE_sample	21	Taconic	HFD	Unmodified_FVT	Male	Non_Response
NovaSeq_TSR168	TSR168	DIO	x	f0_22	Arrival	TRUE_sample	22	Taconic	HFD	Unmodified_FVT	Male	Response
NovaSeq_TSR169	TSR169	DIO	x	f0_23	Arrival	TRUE_sample	23	Taconic	HFD	Obese_control	Male	Non_Response
NovaSeq_TSR170	TSR170	DIO	x	f0_24	Arrival	TRUE_sample	24	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR171	TSR171	DIO	x	f0_25	Arrival	TRUE_sample	25	Taconic	HFD	FVT_PyT	Male	Response
NovaSeq_TSR172	TSR172	DIO	x	f0_26	Arrival	TRUE_sample	26	Taconic	HFD	FVT_PyT	Male	Response
NovaSeq_TSR173	TSR173	DIO	x	f0_27	Arrival	TRUE_sample	27	Taconic	HFD	FVT_SDT	Male	Non_Response
NovaSeq_TSR174	TSR174	DIO	x	f0_28	Arrival	TRUE_sample	28	Taconic	HFD	FVT_ChP	Male	Response
NovaSeq_TSR175	TSR175	DIO	x	f0_29	Arrival	TRUE_sample	29	Taconic	HFD	FVT_ChP	Male	Non_Response
NovaSeq_TSR176	TSR176	DIO	x	f0_30	Arrival	TRUE_sample	30	Taconic	HFD	Unmodified_FVT	Male	Non_Response
NovaSeq_TSR177	TSR177	DIO	x	f0_31	Arrival	TRUE_sample	31	Taconic	HFD	FVT_SDT	Male	Non_Response
NovaSeq_TSR178	TSR178	DIO	x	f0_32	Arrival	TRUE_sample	32	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR179	TSR179	DIO	x	f0_33	Arrival	TRUE_sample	33	Taconic	HFD	FVT_PyT	Male	Non_Response
NovaSeq_TSR180	TSR180	DIO	x	f0_34	Arrival	TRUE_sample	34	Taconic	HFD	FVT_ChP	Male	Non_Response
NovaSeq_TSR181	TSR181	DIO	x	f0_35	Arrival	TRUE_sample	35	Taconic	HFD	Unmodified_FVT	Male	Response
NovaSeq_TSR182	TSR182	DIO	x	f0_36	Arrival	TRUE_sample	36	Taconic	HFD	FVT_SDT	Male	Non_Response
NovaSeq_TSR183	TSR183	DIO	x	f0_37	Arrival	TRUE_sample	37	Taconic	HFD	FVT_PyT	Male	Response
NovaSeq_TSR184	TSR184	DIO	x	f0_38	Arrival	TRUE_sample	38	Taconic	HFD	Obese_control	Male	Non_Response
NovaSeq_TSR185	TSR185	DIO	x	f0_39	Arrival	TRUE_sample	39	Taconic	HFD	Obese_control	Male	Non_Response
NovaSeq_TSR186	TSR186	DIO	x	f0_40	Arrival	TRUE_sample	40	Taconic	HFD	Obese_control	Male	Non_Response
NovaSeq_TSR187	TSR187	DIO	x	f0_41	Arrival	TRUE_sample	41	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR188	TSR188	DIO	x	f0_42	Arrival	TRUE_sample	42	Taconic	HFD	FVT_PyT	Male	Non_Response
NovaSeq_TSR271	TSR271	DIO	x	f0_43	Arrival	TRUE_sample	43	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR272	TSR272	DIO	x	f0_44	Arrival	TRUE_sample	44	Taconic	HFD	Unmodified_FVT	Male	Response
NovaSeq_TSR273	TSR273	DIO	x	f0_45	Arrival	TRUE_sample	45	Taconic	HFD	Obese_control	Male	Response
NovaSeq_TSR274	TSR274	DIO	x	f0_46	Arrival	TRUE_sample	46	Taconic	HFD	Unmodified_FVT	Male	Non_Response
NovaSeq_TSR275	TSR275	DIO	x	f0_47	Arrival	TRUE_sample	47	Taconic	HFD	Unmodified_FVT	Male	Non_Response
NovaSeq_TSR276	TSR276	DIO	x	f0_48	Arrival	TRUE_sample	48	Taconic	HFD	FVT_PyT	Male	Non_Response
NovaSeq_TSR284	TSR284	DIO	x	f3_1	1w_after_FVT	TRUE_sample	1	Taconic	HFD	Obese_control	Male	Non_Response
NovaSeq_TSR285	TSR285	DIO	x	f3_2	1w_after_FVT	TRUE_sample	2	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR286	TSR286	DIO	x	f3_3	1w_after_FVT	TRUE_sample	3	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR287	TSR287	DIO	x	f3_4	1w_after_FVT	TRUE_sample	4	Taconic	HFD	FVT_SDT	Male	Non_Response
NovaSeq_TSR288	TSR288	DIO	x	f3_5	1w_after_FVT	TRUE_sample	5	Taconic	HFD	FVT_ChP	Male	Response
NovaSeq_TSR289	TSR289	DIO	x	f3_6	1w_after_FVT	TRUE_sample	6	Taconic	HFD	Unmodified_FVT	Male	Response
NovaSeq_TSR290	TSR290	DIO	x	f3_7	1w_after_FVT	TRUE_sample	7	Taconic	HFD	FVT_PyT	Male	Non_Response
NovaSeq_TSR291	TSR291	DIO	x	f3_8	1w_after_FVT	TRUE_sample	8	Taconic	HFD	FVT_SDT	Male	Non_Response
NovaSeq_TSR292	TSR292	DIO	x	f3_9	1w_after_FVT	TRUE_sample	9	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR293	TSR293	DIO	x	f3_10	1w_after_FVT	TRUE_sample	10	Taconic	HFD	FVT_SDT	Male	Non_Response
NovaSeq_TSR294	TSR294	DIO	x	f3_11	1w_after_FVT	TRUE_sample	11	Taconic	HFD	FVT_ChP	Male	Non_Response
NovaSeq_TSR295	TSR295	DIO	x	f3_12	1w_after_FVT	TRUE_sample	12	Taconic	HFD	FVT_ChP	Male	Non_Response
NovaSeq_TSR296	TSR296	DIO	x	f3_13	1w_after_FVT	TRUE_sample	13	Taconic	HFD	FVT_PyT	Male	Non_Response
NovaSeq_TSR297	TSR297	DIO	x	f3_14	1w_after_FVT	TRUE_sample	14	Taconic	HFD	Obese_control	Male	Non_Response
NovaSeq_TSR298	TSR298	DIO	x	f3_15	1w_after_FVT	TRUE_sample	15	Taconic	HFD	Obese_control	Male	Non_Response
NovaSeq_TSR299	TSR299	DIO	x	f3_16	1w_after_FVT	TRUE_sample	16	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR300	TSR300	DIO	x	f3_17	1w_after_FVT	TRUE_sample	17	Taconic	HFD	FVT_SDT	Male	Non_Response
NovaSeq_TSR301	TSR301	DIO	x	f3_18	1w_after_FVT	TRUE_sample	18	Taconic	HFD	FVT_SDT	Male	Non_Response
NovaSeq_TSR302	TSR302	DIO	x	f3_19	1w_after_FVT	TRUE_sample	19	Taconic	HFD	FVT_ChP	Male	Non_Response
NovaSeq_TSR303	TSR303	DIO	x	f3_21	1w_after_FVT	TRUE_sample	21	Taconic	HFD	Unmodified_FVT	Male	Non_Response
NovaSeq_TSR304	TSR304	DIO	x	f3_22	1w_after_FVT	TRUE_sample	22	Taconic	HFD	Unmodified_FVT	Male	Response
NovaSeq_TSR305	TSR305	DIO	x	f3_23	1w_after_FVT	TRUE_sample	23	Taconic	HFD	Obese_control	Male	Non_Response
NovaSeq_TSR306	TSR306	DIO	x	f3_24	1w_after_FVT	TRUE_sample	24	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR307	TSR307	DIO	x	f3_25	1w_after_FVT	TRUE_sample	25	Taconic	HFD	FVT_PyT	Male	Response
NovaSeq_TSR308	TSR308	DIO	x	f3_26	1w_after_FVT	TRUE_sample	26	Taconic	HFD	FVT_PyT	Male	Response
NovaSeq_TSR309	TSR309	DIO	x	f3_27	1w_after_FVT	TRUE_sample	27	Taconic	HFD	FVT_SDT	Male	Non_Response
NovaSeq_TSR310	TSR310	DIO	x	f3_28	1w_after_FVT	TRUE_sample	28	Taconic	HFD	FVT_ChP	Male	Response
NovaSeq_TSR311	TSR311	DIO	x	f3_29	1w_after_FVT	TRUE_sample	29	Taconic	HFD	FVT_ChP	Male	Non_Response
NovaSeq_TSR312	TSR312	DIO	x	f3_31	1w_after_FVT	TRUE_sample	31	Taconic	HFD	FVT_SDT	Male	Non_Response
NovaSeq_TSR313	TSR313	DIO	x	f3_32	1w_after_FVT	TRUE_sample	32	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR314	TSR314	DIO	x	f3_34	1w_after_FVT	TRUE_sample	34	Taconic	HFD	FVT_ChP	Male	Non_Response
NovaSeq_TSR315	TSR315	DIO	x	f3_36	1w_after_FVT	TRUE_sample	36	Taconic	HFD	FVT_SDT	Male	Non_Response
NovaSeq_TSR316	TSR316	DIO	x	f3_37	1w_after_FVT	TRUE_sample	37	Taconic	HFD	FVT_PyT	Male	Response
NovaSeq_TSR317	TSR317	DIO	x	f3_38	1w_after_FVT	TRUE_sample	38	Taconic	HFD	Obese_control	Male	Non_Response
NovaSeq_TSR318	TSR318	DIO	x	f3_39	1w_after_FVT	TRUE_sample	39	Taconic	HFD	Obese_control	Male	Non_Response
NovaSeq_TSR319	TSR319	DIO	x	f3_41	1w_after_FVT	TRUE_sample	41	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR320	TSR320	DIO	x	f3_42	1w_after_FVT	TRUE_sample	42	Taconic	HFD	FVT_PyT	Male	Non_Response
NovaSeq_TSR321	TSR321	DIO	x	f3_43	1w_after_FVT	TRUE_sample	43	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR322	TSR322	DIO	x	f3_44	1w_after_FVT	TRUE_sample	44	Taconic	HFD	Unmodified_FVT	Male	Response
NovaSeq_TSR323	TSR323	DIO	x	f3_45	1w_after_FVT	TRUE_sample	45	Taconic	HFD	Obese_control	Male	Response
NovaSeq_TSR324	TSR324	DIO	x	f3_46	1w_after_FVT	TRUE_sample	46	Taconic	HFD	Unmodified_FVT	Male	Non_Response
NovaSeq_TSR325	TSR325	DIO	x	f3_48	1w_after_FVT	TRUE_sample	48	Taconic	HFD	FVT_PyT	Male	Non_Response
NovaSeq_TSR326	TSR326	DIO	x	Negative1	Negative	Neg_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR327	TSR327	DIO	x	Positive_Torben1	Positive_Torben	Pos_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR328	TSR328	DIO	x	Positive_Xichuan1	Positive_Xichuan	Pos_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR329	TSR329	DIO	x	Negative_extraction	Negative	Neg_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR330	TSR330	DIO	x	Positive_Torben2	Positive_Torben	Pos_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR331	TSR331	DIO	x	Positive_Xichuan2	Positive_Xichuan	Pos_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR332	TSR332	DIO	x	Negative_RT1	Negative_RT	RT_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR333	TSR333	DIO	x	Positive_MDA1	Positive_MDA	Pos_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR334	TSR334	DIO	x	FVT_PyT	FVT_PyT	TRUE_sample	FVT_PyT	FVT_PyT	FVT_PyT	FVT_PyT	FVT_PyT	FVT_PyT
NovaSeq_TSR335	TSR335	DIO	x	FVT_SDT	FVT_SDT	TRUE_sample	FVT_SDT	FVT_SDT	FVT_SDT	FVT_SDT	FVT_SDT	FVT_SDT
NovaSeq_TSR336	TSR336	DIO	x	FVT_ChP	FVT_ChP	TRUE_sample	FVT_ChP	FVT_ChP	FVT_ChP	FVT_ChP	FVT_ChP	FVT_ChP
NovaSeq_TSR337	TSR337	DIO	x	Unmodified_FVT	Unmodified_FVT	TRUE_sample	Unmodified_FVT	Unmodified_FVT	Unmodified_FVT	Unmodified_FVT	Unmodified_FVT	Unmodified_FVT
NovaSeq_TSR338	TSR338	DIO	x	FVT_PyT_Spike	FVT_PyT_Spike	TRUE_sample	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR339	TSR339	DIO	x	FVT_SDT_Spike	FVT_SDT_Spike	TRUE_sample	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR340	TSR340	DIO	x	FVT_ChP_Spike	FVT_ChP_Spike	TRUE_sample	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR341	TSR341	DIO	x	Unmodified_FVT_Spike	Unmodified_FVT_Spike	TRUE_sample	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR342	TSR342	DIO	x	Negative_RT2	Negative_RT	RT_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR343	TSR343	DIO	x	Negative_separation	Negative	Neg_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR344	TSR344	DIO	x	Positive_Separation_Torben1	Positive_Torben	Pos_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR345	TSR345	DIO	x	Positive_Separation_Xichuan1	Positive_Xichuan	Pos_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR346	TSR346	DIO	x	Negative_extraction2	Negative	Neg_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR347	TSR347	DIO	x	Positive_Extraction_Torben1	Positive_Torben	Pos_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR348	TSR348	DIO	x	Positive_Extraction_Xichuan1	Positive_Xichuan	Pos_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR349	TSR349	DIO	x	Positive_Extraction_Torben2	Positive_Torben	Pos_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR350	TSR350	DIO	x	SM_Buffer	SM_Buffer	Neg_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR353	TSR353	DIO	x	Positive_Extraction_Xichuan2	Positive_Xichuan	Pos_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR354	TSR354	DIO	x	Positive_Extraction_Torben3	Positive_Torben	Pos_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR355	TSR355	DIO	x	Negative_RT3	Negative_RT	RT_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR362	TSR362	DIO	s	F0_9_re	Arrival	TRUE_sample	9_re	Taconic	LFD	Lean_control	Male	Male
NovaSeq_TSR363	TSR363	DIO	s	F0_10_re	Arrival	TRUE_sample	10_re	Taconic	HFD	FVT_SDT	Male	Male
NovaSeq_TSR364	TSR364	DIO	x	Negative_MDA3	Negative_MDA	MDA_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR365	TSR365	DIO	x	Positive_MDA2	Positive_MDA	Pos_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR145	TSR145	DIO	x	Negative4	Negative	Neg_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR146	TSR146	DIO	x	Positive_Torben3	Positive_Torben	Pos_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR277	TSR277	DIO	x	Negative5	Negative	Neg_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR278	TSR278	DIO	x	Positive_Torben5	Positive_Torben	Pos_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR279	TSR279	DIO	x	Positive_Xichuan4	Positive_Xichuan	Pos_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR280	TSR280	DIO	x	Negative_extraction4	Negative	Neg_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR281	TSR281	DIO	x	Positive_Extraction_Torben5	Positive_Torben	Pos_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR282	TSR282	DIO	x	Positive_Extraction_Xichuan4	Positive_Xichuan	Pos_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR283	TSR283	DIO	x	Negative_RT5	Negative_RT	RT_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR189	TSR189	DIO	x	Positive_MDA3	Positive_MDA	Pos_control	Controls	Controls	Controls	Controls	Controls	Controls
NovaSeq_TSR190	TSR190	DIO	x	Positive_MDA4	Positive_MDA	Pos_control	Controls	Controls	Controls	Controls	Controls	Controls
